TransactionID,Challenge,Seed,Winner
0,19,"""eK%KeACDTd8[fOK,}GE38*X=D'S2gb",8
1,21,-EW6=Loxez%#cl:sBd;Esx}r)k]w|A@c,8
2,21,-EW6=Loxez%#cl:sBd;Esx}r)k]w|A@c,16
3,21, ,-1
